NEIGHBORHOOD,Total Acres,Population,Total Males,Total Females,Vacant Units,Total Occupied Units,Renter,Owner,Households,Family,NonFamily,Total Race,White,Black,Asian,Am Indian,Hawaiian,Other race,Two or more races,Latino,Age0-4,Age5-17,Age18-21,Age22-39,Age40-64,Age65+,1-Person Households,2-Person Households,3-Person Households,4-Person Households,5-Person Households,6-Person Households,7-Person Households,1-Person Male Households,1-Person Female Household,Households_Total,Families w/ Kids,Families w/o Kids,Other Families,Male Non-Family household,Female Non-Family household,Male w/o Female Household,Female w/o Male Household,Language_tot,English Lang,Spanish lang,Indo-European lang,Asian lang,Other lang,Place of Birth tot,Born_OR,US_West,US Midwest,US NE,US South,outside citizen,outside foreign,Residence_tot,Same home,Diff house same Count,Oth county in OR,Oth West state,Oth US Reg,Foreign Count,School Enrollment,Public pk-8,Private pk-8,Public hs,Private hs,School Attain_tot,school less 9,school some hs,school hs grad,school some college,school_assoc,school bachelor,school masters_prof,Workers_total,Prof_Manage,Service Worker,Office_Sales,Forest_Farm,Maint_Const,Trans_Product,Class Worker_Tot,Profit,Non-profit,Government,Self_employed,family_unpaid,Med House Inc,Median Gross Rent,Med Val_Own,Poverty,Below Poverty,% Below Poverty,Income pop_total,hh_inc15k or less,hh_inc15-24,hh_inc25-34,hh_inc35-49,hh_inc50-74,hh_inc75-99,hh_inc100-199,hh_in200 or more,hh_inc_perc_rent_tot,hh_inc_rent_20 percent or less,hh_inc_rent,hh_inc_rent_25-29,hh_inc_rent_30-34,hh_inc_rent_35 or more,hh_inc_rent_not computed,hh_inc_own_tot,hh_inc_own_20 perc or less,hh_inc_own_20-24,hh_inc_own_25-29,hh_inc_own_30-34,hh_inc_own_35 or more,hh_inc_own_not computed,Income Source_tot,inc_wage,inc_selfemp,inc_interest_rent,inc_social_security,inc_supplemental_ssi,inc_public assist,inc_retire,inc_other income source,commute total,commute_auto,Commute_publice,Commute_motorcycle,Commute_Bicycle,Commute_walk,commute_other,commute_work at home,Housing units_total,housing_detached,housing_attached_1,housing_attached 2,housing_attached 3or4,housing_attached_5-9,housing_attached_10-19,Housing_attached_20-49,Housing_attached_50 or more,Housing_mobile,Housing_Boat_RV,Housing_Total group quarters,Housing_grp_ins,housing_grp_non_ins
ALAMEDA,314,"4,052","1,942","2,110",40,"1,630",120,"1,510","1,630","1,135",495,"4,194","3,643",104,93,12,0,8,114,78,231,704,128,851,"1,775",363,341,612,324,269,68,14,2,109,232,"1,630",461,492,182,78,76,40,142,"3,780","3,529",85,120,40,6,"3,981","1,891",770,581,274,269,34,162,"3,780","2,425",721,166,181,198,88,859,447,146,225,41,"2,801",3,33,159,557,147,"1,222",679,"2,342","1,495",217,476,1,26,128,"2,342","1,410",313,385,229,5,"72,955","1,067","237,014",878,25,2.90%,"1,544",71,62,64,168,409,319,350,101,105,25,35,1,1,20,23,"1,432",652,236,186,109,238,11,"1,544","1,333",347,998,271,14,2,204,196,"2,277","1,763",223,9,69,64,0,150,"1,613","1,586",6,17,3,1,0,0,0,0,0,0,0,0
ALAMEDA-BEAUMONT-WILSHIRE,11,112,53,59,2,47,2,45,47,33,14,113,107,0,2,0,0,0,1,2,9,18,1,29,46,9,11,14,16,5,1,0,0,4,7,47,15,14,4,2,1,1,3,142,133,1,8,0,0,150,61,36,21,5,16,0,11,142,99,19,6,10,5,3,28,15,3,8,2,106,0,2,9,20,4,36,35,81,62,6,10,0,1,2,81,44,7,20,11,0,"92,076","1,075","249,700",865,62,7.17%,59,5,2,6,2,10,10,20,3,4,0,0,1,0,1,1,57,29,10,6,3,10,0,59,48,12,38,15,0,2,13,2,78,66,5,1,1,2,0,3,64,63,0,1,0,0,0,0,0,0,0,0,0,0
ALAMEDA-IRVINGTON,68,873,403,470,2,325,29,296,325,231,94,909,764,45,11,1,0,4,30,18,60,175,24,170,366,78,60,109,71,60,16,4,5,20,40,325,103,90,38,11,23,6,32,838,767,36,35,0,0,899,388,200,150,78,67,2,15,838,513,152,52,65,56,0,211,111,57,35,8,608,9,19,47,70,19,250,194,503,346,10,110,0,13,24,503,262,45,93,104,0,"84,347","1,603","276,800",751,15,2.00%,327,0,19,26,25,67,68,111,12,18,2,7,4,0,4,0,282,131,57,31,26,37,0,327,258,111,202,62,8,0,60,35,478,356,27,0,16,17,4,57,332,328,4,0,0,0,0,0,0,0,0,1,0,1
ARBOR LODGE,555,"6,065","3,046","3,019",109,"2,573",701,"1,872","2,573","1,451","1,122","6,388","4,531",418,360,54,27,12,249,414,362,877,333,"1,834","1,901",758,798,893,407,261,132,53,29,359,439,"2,573",435,617,399,177,147,107,292,"5,666","4,766",321,216,320,44,"6,033","3,125","1,106",599,143,330,65,666,"5,666","2,930","1,791",365,278,145,158,959,556,117,255,32,"4,284",243,400,"1,255","1,128",283,676,298,"3,155",918,480,938,10,237,572,"3,155","2,273",299,358,223,2,"40,857",666,"130,660",897,100,11.13%,"2,557",336,332,310,574,623,227,147,8,676,206,56,90,69,217,36,"1,804",778,332,192,102,400,0,"2,557","2,017",322,"1,027",644,92,59,403,332,"3,112","2,581",368,0,13,49,3,99,"2,651","2,362",25,26,81,74,23,10,45,5,0,15,0,15
ARDENWALD,119,294,146,148,9,129,27,102,129,76,53,301,277,0,3,3,0,0,7,4,12,30,10,104,96,42,34,59,13,14,8,0,1,10,24,129,20,51,5,11,8,1,4,292,285,3,1,2,0,310,154,85,19,20,19,5,8,292,198,37,3,30,18,6,68,27,20,18,4,210,0,8,32,35,21,70,44,158,101,8,28,0,9,12,158,104,23,15,17,0,"41,875",692,"168,500","1,335",227,16.97%,116,12,3,9,22,26,18,20,7,19,2,2,0,0,12,2,92,45,10,11,8,16,2,116,97,33,72,17,0,3,16,17,157,141,6,0,5,0,0,5,126,122,0,4,0,0,0,0,0,0,0,1,0,1
ARGAY,"1,201","5,788","2,802","2,986",92,"2,402","1,007","1,395","2,402","1,534",868,"6,060","3,866",482,506,31,63,18,192,630,351,936,266,"1,356","1,690","1,189",707,894,311,271,126,54,39,263,444,"2,402",413,765,356,98,63,90,266,"5,476","4,435",492,154,386,9,"5,791","2,716",934,578,79,350,89,"1,045","5,476","2,603","1,703",225,556,57,333,"1,104",629,139,268,69,"3,934",165,359,"1,035","1,237",196,632,311,"2,787",722,391,"1,005",0,184,485,"2,787","2,015",260,269,243,0,"46,394",937,"169,580","1,267",122,9.66%,"2,391",228,448,334,387,452,308,172,62,"1,014",277,111,114,105,384,23,"1,267",649,122,164,68,265,0,"2,391","1,798",276,"1,092",858,110,33,688,359,"2,734","2,244",241,0,7,147,15,80,"2,479","1,254",165,8,128,244,189,40,399,52,0,34,34,0
ARLINGTON HEIGHTS,103,691,329,362,14,278,15,263,278,192,86,700,637,2,24,1,0,1,7,19,34,129,15,113,319,81,61,115,39,39,19,3,2,23,38,278,78,100,14,17,8,4,10,689,625,5,37,22,0,695,212,114,147,104,33,4,82,689,364,98,59,45,84,38,117,53,31,20,14,530,0,6,15,78,14,232,185,390,269,27,80,0,8,5,390,233,52,53,53,0,"65,893",643,"410,700","1,321",83,6.28%,375,52,35,39,27,56,29,98,39,146,51,15,13,7,56,3,162,101,15,10,23,11,3,375,288,88,229,74,0,7,46,14,373,274,44,0,0,28,9,18,393,184,3,0,7,31,31,103,34,0,0,0,0,0
ARNOLD CREEK,682,"2,930","1,433","1,497",29,"1,037",61,976,"1,037",857,180,"3,010","2,678",13,112,3,9,2,66,47,183,715,61,463,"1,268",240,137,358,204,258,62,13,5,71,66,"1,037",454,326,77,20,23,22,55,"2,817","2,589",46,100,65,17,"2,956","1,285",644,389,219,152,42,226,"2,817","1,809",388,288,165,144,22,700,343,147,190,21,"2,053",9,58,204,394,81,769,538,"1,552",992,68,363,0,67,63,"1,552",973,168,230,181,0,"77,550","1,014","231,667","2,687",106,3.96%,"1,147",45,49,104,92,188,195,387,87,90,18,7,3,7,36,19,962,521,115,100,82,139,5,"1,147",921,279,778,235,11,16,204,105,"1,532","1,353",30,0,0,5,7,137,"1,197","1,010",101,2,18,14,9,24,7,13,0,6,0,6
ASHCREEK,799,"4,740","2,326","2,414",50,"1,888",285,"1,603","1,888","1,307",581,"4,899","4,185",58,119,29,11,15,121,202,262,870,171,"1,174","1,867",396,409,715,338,299,92,22,13,162,247,"1,888",521,597,189,88,84,55,134,"4,508","4,069",128,181,111,20,"4,747","2,243","1,103",491,289,230,84,307,"4,508","2,766",769,542,233,128,70,895,438,226,195,36,"3,379",19,98,433,782,210,"1,180",657,"2,696","1,531",174,624,0,170,199,"2,696","1,841",302,394,160,0,"62,211",764,"187,600","2,202",120,5.44%,"1,947",79,127,154,310,485,294,364,134,331,63,88,61,47,62,9,"1,544",913,198,86,137,210,0,"1,947","1,699",306,"1,210",303,65,23,335,233,"2,666","2,276",224,0,15,31,0,120,"1,995","1,823",36,16,8,10,37,39,25,0,0,0,0,0
BEAUMONT-WILSHIRE,462,"5,122","2,414","2,708",67,"2,168",278,"1,890","2,168","1,366",802,"5,298","4,413",218,178,28,11,8,144,122,280,813,164,"1,266","1,970",629,575,813,387,274,79,25,15,192,383,"2,168",478,623,265,114,113,58,207,"4,879","4,536",77,144,115,8,"5,163","2,611","1,061",599,238,278,81,294,"4,879","3,001","1,108",281,273,147,69,896,473,152,224,47,"3,750",42,117,605,938,225,"1,155",668,"2,933","1,509",326,770,0,78,250,"2,933","1,805",372,503,254,0,"67,519",943,"203,814","1,014",39,3.82%,"2,190",119,171,231,309,546,332,445,36,280,96,38,55,19,48,25,"1,832",903,322,193,155,242,17,"2,190","1,771",346,"1,337",447,9,21,387,267,"2,900","2,346",271,8,66,62,25,122,"2,248","2,164",5,37,10,28,0,0,0,5,0,0,0,0
